user_id,user_name,user_display_name,location,profile_link,uri,user_image_url,small_image_url,has_image,record_create_timestamp
76206467,Dan,Dan Abromowitz,"Chicago, IL",https://www.goodreads.com/user/show/76206467-dan-abromowitz,kca://profile:goodreads/A2J1KMSGWO6DQI,https://s.gr-assets.com/assets/nophoto/user/u_111x148-9394ebedbb3c6c218f64be9549657029.png,https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png,false,2020-02-19 21:38:16.690535
85907136,Sharon,Sharon,"Tucson, AZ",https://www.goodreads.com/user/show/85907136-sharon,kca://profile:goodreads/A35PUNUX7L9MIM,https://images.gr-assets.com/users/1547687635p3/85907136.jpg,https://images.gr-assets.com/users/1547687635p2/85907136.jpg,true,2020-02-19 21:38:17.861647
91305674,Geena,Geena Kenemore,"Louisville, KY",https://www.goodreads.com/user/show/91305674-geena-kenemore,kca://profile:goodreads/AK5MGPOP9MUGL,https://s.gr-assets.com/assets/nophoto/user/u_111x148-9394ebedbb3c6c218f64be9549657029.png,https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png,false,2020-02-19 21:38:18.791891
90307732,Kim,Kim,"Detroit, MI",https://www.goodreads.com/user/show/90307732-kim,kca://profile:goodreads/A1XV1LWJZ764GR,https://s.gr-assets.com/assets/nophoto/user/u_111x148-9394ebedbb3c6c218f64be9549657029.png,https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png,false,2020-02-19 21:38:19.719609
14730037,Paolo,Paolo Vergara,"Marikina, Philippines",https://www.goodreads.com/user/show/14730037-paolo-vergara,kca://profile:goodreads/AZ7ISBZ2X7404,https://images.gr-assets.com/users/1579252375p3/14730037.jpg,https://images.gr-assets.com/users/1579252375p2/14730037.jpg,true,2020-02-19 21:38:20.625107
102177361,Walker,Walker James,,https://www.goodreads.com/user/show/102177361-walker-james,kca://profile:goodreads/A3094D0VUNDNNC,https://s.gr-assets.com/assets/nophoto/user/u_111x148-9394ebedbb3c6c218f64be9549657029.png,https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png,false,2020-02-19 21:38:21.532605
102219646,Karen,Karen,Canada,https://www.goodreads.com/user/show/102219646-karen,kca://profile:goodreads/A2S02L81W390IL,https://s.gr-assets.com/assets/nophoto/user/f_111x148-8060b12280b2aec7543bafb574ee8422.png,https://s.gr-assets.com/assets/nophoto/user/f_50x66-6a03a5c12233c941481992b82eea8d23.png,false,2020-02-19 21:38:22.494633
108765121,Greg,Greg Hernandez,"Los Angeles, CA",https://www.goodreads.com/user/show/108765121-greg-hernandez,kca://profile:goodreads/A3O4P5J2KINQUV,https://s.gr-assets.com/assets/nophoto/user/u_111x148-9394ebedbb3c6c218f64be9549657029.png,https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png,false,2020-02-19 21:38:23.372978
102598042,D.,D. Slaton,The United States,https://www.goodreads.com/user/show/102598042-d-slaton,kca://profile:goodreads/AXTQAT5EY0L6X,https://images.gr-assets.com/users/1568207732p3/102598042.jpg,https://images.gr-assets.com/users/1568207732p2/102598042.jpg,true,2020-02-19 21:38:24.295568
97378525,Tin,Tin Hồng,"Ho Chi Minh City, 20, Viet Nam",https://www.goodreads.com/user/show/97378525-tin-h-ng,kca://profile:goodreads/A734XQSS9F1CB,https://s.gr-assets.com/assets/nophoto/user/u_111x148-9394ebedbb3c6c218f64be9549657029.png,https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png,false,2020-02-19 21:38:25.203875
91408922,Michelle,Michelle Lang,"Peterborough, ON, Canada",https://www.goodreads.com/user/show/91408922-michelle-lang,kca://profile:goodreads/A3QVWOB72PB1X9,https://images.gr-assets.com/users/1578365684p3/91408922.jpg,https://images.gr-assets.com/users/1578365684p2/91408922.jpg,true,2020-02-19 21:38:26.150917
